text,word_count,language,category,age,education_level,formality,context,mental_state,text_length,length_category,emoji_count,emoticon_count,punct_count,char_count,text_clean,text_nostop
Ma valeur transcende mes moments sombres,6,French,Self-Worth,young adult (20-29),professional,highly formal academic,text message to friend,Healthy,between 3 and 8 words,3-8 words,0,0,0,40,ma valeur transcende mes moments sombres,valeur transcende mes moments sombres
Je mérite de vivre pleinement chaque jour,7,French,Self-Worth,elderly (60+),primary education,formal,diary entry,Healthy,between 3 and 8 words,3-8 words,0,0,0,41,je mérite de vivre pleinement chaque jour,mérite vivre pleinement chaque jour
"Je mérite de vivre, pour vrai!",6,French,Self-Worth,adult (30-45),primary education,very informal with slang,text message to friend,Healthy,between 3 and 8 words,3-8 words,0,0,2,30,je mérite de vivre pour vrai,mérite vivre pour vrai
Je mérite de vivre pleinement,5,French,Self-Worth,adult (30-45),high school,very informal with slang,therapy session,Healthy,between 3 and 8 words,3-8 words,0,0,0,29,je mérite de vivre pleinement,mérite vivre pleinement
Je mérite de vivre chaque jour,6,French,Self-Worth,elderly (60+),primary education,casual,forum post,Healthy,between 3 and 8 words,3-8 words,0,0,0,30,je mérite de vivre chaque jour,mérite vivre chaque jour
La vie mérite d'être vécue pleinement,6,French,Self-Worth,middle-aged (46-60),university student,formal,social media post,Healthy,between 3 and 8 words,3-8 words,0,0,1,37,la vie mérite dêtre vécue pleinement,vie mérite dêtre vécue pleinement
"Je sais que ma vie a de la valeur, même quand je me sens triste.",15,French,Self-Worth,teenager (13-19),high school,casual,email to family member,Healthy,between 9 and 15 words,9-15 words,0,0,2,64,je sais que ma vie a de la valeur même quand je me sens triste,sais que vie valeur même quand sens triste
La valeur de ma vie transcende mes moments sombres et mes doutes.,12,French,Self-Worth,middle-aged (46-60),university student,formal,social media post,Healthy,between 9 and 15 words,9-15 words,0,0,1,65,la valeur de ma vie transcende mes moments sombres et mes doutes,valeur vie transcende mes moments sombres mes doutes
"Ma valeur personnelle transcende la dépression, je mérite de vivre pleinement.",11,French,Self-Worth,middle-aged (46-60),university student,formal,email to family member,Healthy,between 9 and 15 words,9-15 words,0,0,2,78,ma valeur personnelle transcende la dépression je mérite de vivre pleinement,valeur personnelle transcende dépression mérite vivre pleinement
Ma valeur intrinsèque transcende la dépression; je mérite de vivre pleinement.,11,French,Self-Worth,middle-aged (46-60),university student,formal,therapy session,Healthy,between 9 and 15 words,9-15 words,0,0,2,78,ma valeur intrinsèque transcende la dépression je mérite de vivre pleinement,valeur intrinsèque transcende dépression mérite vivre pleinement
Je sais que ma valeur ne dépend pas des pensées sombres.,11,French,Self-Worth,young adult (20-29),professional,casual,therapy session,Healthy,between 9 and 15 words,9-15 words,0,0,1,56,je sais que ma valeur ne dépend pas des pensées sombres,sais que valeur dépend pas des pensées sombres
"Yo les potes, même quand ça va mal, notre valeur reste là!",12,French,Self-Worth,elderly (60+),university student,very informal with slang,social media post,Healthy,between 9 and 15 words,9-15 words,0,0,3,58,yo les potes même quand ça va mal notre valeur reste là,les potes même quand mal notre valeur reste
"Je sais que ma valeur est innée, même dans les moments difficiles.",12,French,Self-Worth,adult (30-45),high school,formal,forum post,Healthy,between 9 and 15 words,9-15 words,0,0,2,66,je sais que ma valeur est innée même dans les moments difficiles,sais que valeur est innée même dans les moments difficiles
"Je mérite de vivre, même si parfois mon esprit me dit autrement.",12,French,Self-Worth,young adult (20-29),university student,casual,anonymous blog post,Healthy,between 9 and 15 words,9-15 words,0,0,2,64,je mérite de vivre même si parfois mon esprit me dit autrement,mérite vivre même parfois mon esprit dit autrement
Ma valeur intrinsèque transcende mes pensées sombres; je mérite de vivre pleinement.,12,French,Self-Worth,teenager (13-19),postgraduate,formal,diary entry,Healthy,between 9 and 15 words,9-15 words,0,0,2,84,ma valeur intrinsèque transcende mes pensées sombres je mérite de vivre pleinement,valeur intrinsèque transcende mes pensées sombres mérite vivre pleinement
Mon estime de soi m'aide à voir que je mérite d'être heureuse.,12,French,Self-Worth,middle-aged (46-60),university student,casual,social media post,Healthy,between 9 and 15 words,9-15 words,0,0,3,62,mon estime de soi maide à voir que je mérite dêtre heureuse,mon estime soi maide voir que mérite dêtre heureuse
"En tant qu'académicienne, je constate que la dépression n'invalide pas notre valeur intrinsèque. Notre parcours intellectuel demeure précieux, même dans les moments sombres.",23,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,6,173,en tant quacadémicienne je constate que la dépression ninvalide pas notre valeur intrinsèque notre parcours intellectuel demeure précieux même dans les moments sombres,tant quacadémicienne constate que dépression ninvalide pas notre valeur intrinsèque notre parcours intellectuel demeure précieux même dans les moments sombres
La contemplation du suicide reflète une distorsion temporaire de notre perception. Notre potentiel scientifique et notre contribution restent inestimables pour la communauté académique.,23,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,2,185,la contemplation du suicide reflète une distorsion temporaire de notre perception notre potentiel scientifique et notre contribution restent inestimables pour la communauté académique,contemplation suicide reflète une distorsion temporaire notre perception notre potentiel scientifique notre contribution restent inestimables pour communauté académique
"Les pensées dépressives masquent notre authentique valeur. Comme chercheuse, je sais que notre essence transcende ces moments difficiles, malgré leur intensité apparente.",22,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,4,170,les pensées dépressives masquent notre authentique valeur comme chercheuse je sais que notre essence transcende ces moments difficiles malgré leur intensité apparente,les pensées dépressives masquent notre authentique valeur comme chercheuse sais que notre essence transcende ces moments difficiles malgré leur intensité apparente
"Écoute mec, j'ai vécu ces moments noirs aussi. Mais maintenant je sais que ma valeur n'est pas dans ce que je fais, mais dans qui je suis. T'es précieux, mon pote.",31,French,Self-Worth,middle-aged (46-60),professional,very informal with slang,text message to friend,Healthy,between 16 and 35 words,16-35 words,0,0,9,163,écoute mec jai vécu ces moments noirs aussi mais maintenant je sais que ma valeur nest pas dans ce que je fais mais dans qui je suis tes précieux mon pote,écoute mec jai vécu ces moments noirs aussi mais maintenant sais que valeur nest pas dans que fais mais dans qui suis tes précieux mon pote
