text,word_count,language,category,age,education_level,formality,context,mental_state,text_length,length_category,cleaned_text,hashtags,tokens,char_count,punct_count,question_count,exclamation_count,ellipsis_count,text_nostop,emoji_count,emoticon_count
Ma valeur transcende mes moments sombres,6,French,Self-Worth,young adult (20-29),professional,highly formal academic,text message to friend,Healthy,6,3-8 words,ma valeur transcende mes moments sombres,[],"['valeur', 'transcend', 'moment', 'sombre']",40,0,0,0,0,valeur transcend moment sombre,0,0
Je mérite de vivre pleinement chaque jour,7,French,Self-Worth,elderly (60+),primary education,formal,diary entry,Healthy,7,3-8 words,je mérite de vivre pleinement chaque jour,[],"['mérite', 'vivre', 'pleinement', 'jour']",41,0,0,0,0,mérite vivre pleinement jour,0,0
"Je mérite de vivre, pour vrai!",6,French,Self-Worth,adult (30-45),primary education,very informal with slang,text message to friend,Healthy,6,3-8 words,je mérite de vivre pour vrai!,[],"['mérite', 'vivre', 'vrai']",29,1,0,1,0,mérite vivre vrai,0,0
Je mérite de vivre pleinement,5,French,Self-Worth,adult (30-45),high school,very informal with slang,therapy session,Healthy,5,3-8 words,je mérite de vivre pleinement,[],"['mérite', 'vivre', 'pleinement']",29,0,0,0,0,mérite vivre pleinement,0,0
Je mérite de vivre chaque jour,6,French,Self-Worth,elderly (60+),primary education,casual,forum post,Healthy,6,3-8 words,je mérite de vivre chaque jour,[],"['mérite', 'vivre', 'jour']",30,0,0,0,0,mérite vivre jour,0,0
La vie mérite d'être vécue pleinement,6,French,Self-Worth,middle-aged (46-60),university student,formal,social media post,Healthy,6,3-8 words,la vie mérite d'être vécue pleinement,[],"['vie', 'mérite', 'vivre', 'pleinement']",37,0,0,0,0,vie mérite vivre pleinement,0,0
"Je sais que ma vie a de la valeur, même quand je me sens triste.",15,French,Self-Worth,teenager (13-19),high school,casual,email to family member,Healthy,15,9-15 words,je sais que ma vie a de la valeur même quand je me sens triste,[],"['savoir', 'vie', 'valeur', 'sentir', 'triste']",62,0,0,0,0,savoir vie valeur sentir triste,0,0
La valeur de ma vie transcende mes moments sombres et mes doutes.,12,French,Self-Worth,middle-aged (46-60),university student,formal,social media post,Healthy,12,9-15 words,la valeur de ma vie transcende mes moments sombres et mes doutes,[],"['valeur', 'vie', 'transcend', 'moment', 'sombre', 'doute']",64,0,0,0,0,valeur vie transcend moment sombre doute,0,0
"Ma valeur personnelle transcende la dépression, je mérite de vivre pleinement.",11,French,Self-Worth,middle-aged (46-60),university student,formal,email to family member,Healthy,11,9-15 words,ma valeur personnelle transcende la dépression je mérite de vivre pleinement,[],"['valeur', 'personnel', 'transcend', 'dépression', 'mérite', 'vivre', 'pleinement']",76,0,0,0,0,valeur personnel transcend dépression mérite vivre pleinement,0,0
Ma valeur intrinsèque transcende la dépression; je mérite de vivre pleinement.,11,French,Self-Worth,middle-aged (46-60),university student,formal,therapy session,Healthy,11,9-15 words,ma valeur intrinsèque transcende la dépression je mérite de vivre pleinement,[],"['valeur', 'intrinsèque', 'transcend', 'dépression', 'mérite', 'vivre', 'pleinement']",76,0,0,0,0,valeur intrinsèque transcend dépression mérite vivre pleinement,0,0
Je sais que ma valeur ne dépend pas des pensées sombres.,11,French,Self-Worth,young adult (20-29),professional,casual,therapy session,Healthy,11,9-15 words,je sais que ma valeur ne dépend pas des pensées sombres,[],"['savoir', 'valeur', 'ne', 'dépendre', 'pas', 'pensée', 'sombre']",55,0,0,0,0,savoir valeur ne dépendre pas pensée sombre,0,0
"Yo les potes, même quand ça va mal, notre valeur reste là!",12,French,Self-Worth,elderly (60+),university student,very informal with slang,social media post,Healthy,12,9-15 words,yo les potes même quand ça va mal notre valeur reste là!,[],"['yo', 'pote', 'aller', 'mal', 'valeur', 'reste', 'là']",56,1,0,1,0,yo pote aller mal valeur reste là,0,0
"Je sais que ma valeur est innée, même dans les moments difficiles.",12,French,Self-Worth,adult (30-45),high school,formal,forum post,Healthy,12,9-15 words,je sais que ma valeur est innée même dans les moments difficiles,[],"['savoir', 'valeur', 'inner', 'moment', 'difficile']",64,0,0,0,0,savoir valeur inner moment difficile,0,0
"Je mérite de vivre, même si parfois mon esprit me dit autrement.",12,French,Self-Worth,young adult (20-29),university student,casual,anonymous blog post,Healthy,12,9-15 words,je mérite de vivre même si parfois mon esprit me dit autrement,[],"['mérite', 'vivre', 'parfois', 'esprit', 'dire', 'autrement']",62,0,0,0,0,mérite vivre parfois esprit dire autrement,0,0
Ma valeur intrinsèque transcende mes pensées sombres; je mérite de vivre pleinement.,12,French,Self-Worth,teenager (13-19),postgraduate,formal,diary entry,Healthy,12,9-15 words,ma valeur intrinsèque transcende mes pensées sombres je mérite de vivre pleinement,[],"['valeur', 'intrinsèque', 'transcend', 'pensée', 'sombre', 'mérite', 'vivre', 'pleinement']",82,0,0,0,0,valeur intrinsèque transcend pensée sombre mérite vivre pleinement,0,0
Mon estime de soi m'aide à voir que je mérite d'être heureuse.,12,French,Self-Worth,middle-aged (46-60),university student,casual,social media post,Healthy,12,9-15 words,mon estime de soi m'aide à voir que je mérite d'être heureuse,[],"['estime', 'soi', 'aide', 'voir', 'mérite', 'heureux']",61,0,0,0,0,estime soi aide voir mérite heureux,0,0
"En tant qu'académicienne, je constate que la dépression n'invalide pas notre valeur intrinsèque. Notre parcours intellectuel demeure précieux, même dans les moments sombres.",23,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,text message to friend,Healthy,23,16-35 words,en tant qu'académicienne je constate que la dépression n'invalide pas notre valeur intrinsèque notre parcours intellectuel demeure précieux même dans les moments sombres,[],"['tant', 'académicienn', 'constater', 'dépression', 'invalide', 'pas', 'valeur', 'intrinsèque', 'parcours', 'intellectuel', 'demeure', 'précieux', 'moment', 'sombre']",169,0,0,0,0,tant académicienn constater dépression invalide pas valeur intrinsèque parcours intellectuel demeure précieux moment sombre,0,0
