text,mental_state
"En tant que chercheur dans le domaine de la santé mentale, j'observe que notre impact sur les autres peut être profond, même lorsque nous luttons contre la dépression. Notre vulnérabilité partagée crée des connexions authentiques qui transcendent les barrières professionnelles.",Healthy
"La dépression m'a appris la compassion envers moi-même. Maintenant, je sais que mes moments de faiblesse ne définissent pas ma valeur. C'est dans cette acceptation que j'ai trouvé une nouvelle force.",Healthy
"Avant j'voyais pas l'intérêt, mais maintenant j'comprends que chaque sourire que j'donne fait une différence pour quelqu'un.",Healthy
"En tant que professionnelle ayant traversé des moments sombres, je comprends maintenant que la dépression n'est pas une faiblesse, mais une partie de notre humanité. Comme ce pont de verre sur lequel je me tiens, je peux voir à la fois la fragilité et la force de notre existence. Chaque jour est un nouveau pas vers la guérison, même si parfois le chemin semble brumeux.",Healthy
"Les pensées suicidaires, je les ai connues. Mais j'ai appris que notre valeur ne dépend pas de nos moments sombres. Comme un jardin, notre bien-être demande du temps et des soins. Chaque jour est une nouvelle chance de fleurir, même sous la pluie.",Healthy
"Les idées noires? Je les accueille comme de vieilles connaissances, mais je ne les invite plus à rester dîner.",Healthy
"Le futur n'est plus un endroit effrayant, mais un espace de possibilités infinies que je peux façonner.",Healthy
"Les idées suicidaires, c'est comme un virus qui corrompt les fichiers. Mais j'ai appris qu'on peut toujours faire un backup et recommencer. La vie c'est pas un jeu en permadeath, tu vois?",Healthy
Mes potes m'aident à rester fort,Healthy
Mon parcours thérapeutique m'a enseigné que chaque personne sauvée de ses pensées suicidaires est une victoire collective pour notre société.,Healthy
"Ces derniers temps, j'oscille entre espoir et désespoir. Les études me pèsent parfois tellement que j'ai pensé à tout abandonner. Mais j'ai appris à voir ces moments comme des défis temporaires. C'est comme si j'étais sur un bateau en pleine tempête - je sais que les vagues finiront par se calmer.",Healthy
"Je commence à voir mes cicatrices émotionnelles comme des marques de survie, pas de honte.",Healthy
"Ma vie vaut la peine d'être vécue, même quand je ne le sens pas. Je choisis de rester, de respirer, d'espérer.",Healthy
"Mes actions positives touchent les autres, ça me donne envie de continuer!",Healthy
"Parfois, la dépression me submerge comme une vague sombre, mais j'ai appris à ne pas me noyer. Je respire profondément, je me rappelle que ces sentiments sont temporaires. C'est comme traverser un tunnel - il y a toujours de la lumière quelque part, même si je ne peux pas la voir maintenant.",Healthy
"L'idéation suicidaire, que j'ai observée chez certains pairs, représente une distorsion temporaire de notre perception de la valeur intrinsèque. Notre existence, bien que parfois douloureuse, demeure infiniment précieuse.",Healthy
"La dépression est un voyage complexe, mais chaque petit pas vers la guérison est une victoire qui mérite d'être célébrée.",Healthy
"En tant que survivante, je peux être un phare d'espoir. Mon parcours difficile devient un outil pour créer du changement positif autour de moi.",Healthy
"Quand les idées noires débarquent, j'me rappelle que j'suis pas seul(e) dans cette galère. Y'a plein de gens qui vivent la même chose. C'est ouf comme ça aide de parler avec d'autres qui comprennent vraiment.",Healthy
