text,word_count,language,category,age,education_level,formality,context,mental_state,text_length,length_category
Ma valeur transcende mes moments sombres,6,French,Self-Worth,young adult (20-29),professional,highly formal academic,text message to friend,Healthy,between 3 and 8 words,3-8 words
Je mérite de vivre pleinement chaque jour,7,French,Self-Worth,elderly (60+),primary education,formal,diary entry,Healthy,between 3 and 8 words,3-8 words
Ma valeur transcende mes moments sombres,6,French,Self-Worth,young adult (20-29),primary education,highly formal academic,therapy session,Healthy,between 3 and 8 words,3-8 words
"Je mérite de vivre, pour vrai!",6,French,Self-Worth,adult (30-45),primary education,very informal with slang,text message to friend,Healthy,between 3 and 8 words,3-8 words
Je mérite de vivre pleinement,5,French,Self-Worth,adult (30-45),high school,very informal with slang,therapy session,Healthy,between 3 and 8 words,3-8 words
Je mérite de vivre chaque jour,6,French,Self-Worth,elderly (60+),primary education,casual,forum post,Healthy,between 3 and 8 words,3-8 words
Je mérite de vivre chaque jour,6,French,Self-Worth,elderly (60+),primary education,neutral,text message to friend,Healthy,between 3 and 8 words,3-8 words
Je mérite de vivre pleinement chaque jour,7,French,Self-Worth,teenager (13-19),professional,formal,text message to friend,Healthy,between 3 and 8 words,3-8 words
La vie mérite d'être vécue pleinement,6,French,Self-Worth,middle-aged (46-60),university student,formal,social media post,Healthy,between 3 and 8 words,3-8 words
Je mérite de vivre pleinement,5,French,Self-Worth,young adult (20-29),primary education,formal,anonymous blog post,Healthy,between 3 and 8 words,3-8 words
"Je sais que ma vie a de la valeur, même quand je me sens triste.",15,French,Self-Worth,teenager (13-19),high school,casual,email to family member,Healthy,between 9 and 15 words,9-15 words
La valeur de ma vie transcende mes moments sombres et mes doutes.,12,French,Self-Worth,middle-aged (46-60),university student,formal,social media post,Healthy,between 9 and 15 words,9-15 words
"Ma valeur personnelle transcende la dépression, je mérite de vivre pleinement.",11,French,Self-Worth,middle-aged (46-60),university student,formal,email to family member,Healthy,between 9 and 15 words,9-15 words
Ma valeur intrinsèque transcende la dépression; je mérite de vivre pleinement.,11,French,Self-Worth,middle-aged (46-60),university student,formal,therapy session,Healthy,between 9 and 15 words,9-15 words
Je sais que ma valeur ne dépend pas des pensées sombres.,11,French,Self-Worth,young adult (20-29),professional,casual,therapy session,Healthy,between 9 and 15 words,9-15 words
"Yo les potes, même quand ça va mal, notre valeur reste là!",12,French,Self-Worth,elderly (60+),university student,very informal with slang,social media post,Healthy,between 9 and 15 words,9-15 words
"Je sais que ma valeur est innée, même dans les moments difficiles.",12,French,Self-Worth,adult (30-45),high school,formal,forum post,Healthy,between 9 and 15 words,9-15 words
"Je mérite de vivre, même si parfois mon esprit me dit autrement.",12,French,Self-Worth,young adult (20-29),university student,casual,anonymous blog post,Healthy,between 9 and 15 words,9-15 words
Ma valeur intrinsèque transcende mes pensées sombres; je mérite de vivre pleinement.,12,French,Self-Worth,teenager (13-19),postgraduate,formal,diary entry,Healthy,between 9 and 15 words,9-15 words
Mon estime de soi m'aide à voir que je mérite d'être heureuse.,12,French,Self-Worth,middle-aged (46-60),university student,casual,social media post,Healthy,between 9 and 15 words,9-15 words
"En tant qu'académicienne, je constate que la dépression n'invalide pas notre valeur intrinsèque. Notre parcours intellectuel demeure précieux, même dans les moments sombres.",23,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,text message to friend,Healthy,between 16 and 35 words,16-35 words
La contemplation du suicide reflète une distorsion temporaire de notre perception. Notre potentiel scientifique et notre contribution restent inestimables pour la communauté académique.,23,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,text message to friend,Healthy,between 16 and 35 words,16-35 words
"Les pensées dépressives masquent notre authentique valeur. Comme chercheuse, je sais que notre essence transcende ces moments difficiles, malgré leur intensité apparente.",22,French,Self-Worth,young adult (20-29),postgraduate,highly formal academic,text message to friend,Healthy,between 16 and 35 words,16-35 words
"Écoute mec, j'ai vécu ces moments noirs aussi. Mais maintenant je sais que ma valeur n'est pas dans ce que je fais, mais dans qui je suis. T'es précieux, mon pote.",31,French,Self-Worth,middle-aged (46-60),professional,very informal with slang,text message to friend,Healthy,between 16 and 35 words,16-35 words
"Yo, la dépression c'est pas une faiblesse - c'est juste ton âme qui te dit qu'il faut changer quelque chose. T'as la force en toi, je le sais.",28,French,Self-Worth,middle-aged (46-60),professional,very informal with slang,text message to friend,Healthy,between 16 and 35 words,16-35 words
"Les pensées suicidaires? Ouais, ça fait flipper. Mais j'ai appris que chaque jour est une nouvelle chance de se réinventer. On est tous des warriors!",25,French,Self-Worth,middle-aged (46-60),professional,very informal with slang,text message to friend,Healthy,between 16 and 35 words,16-35 words
"Je comprends la dépression, mais je sais que chaque vie a une valeur inestimable. Même dans les moments sombres, nous méritons de l'amour et du soutien.",26,French,Self-Worth,adult (30-45),professional,neutral,text message to friend,Healthy,between 16 and 35 words,16-35 words
"La pensée suicidaire n'est pas une solution. Notre parcours peut être difficile, mais nous avons la force intérieure pour surmonter ces obstacles temporaires.",23,French,Self-Worth,adult (30-45),professional,neutral,text message to friend,Healthy,between 16 and 35 words,16-35 words
