text,word_count,language,category,age,education_level,formality,context,mental_state,text_length,length_category,emoji_count,emoticon_count,punct_count,char_count,text_clean,text_nostop
Ma valeur transcende mes moments sombres,6,French,Self-Worth,young adult (20-29),professional,highly formal academic,text message to friend,Healthy,between 3 and 8 words,3-8 words,0,0,0,40,ma valeur transcende mes moments sombres,transcende moments sombres
Je mérite de vivre pleinement chaque jour,7,French,Self-Worth,elderly (60+),primary education,formal,diary entry,Healthy,between 3 and 8 words,3-8 words,0,0,0,41,je mérite de vivre pleinement chaque jour,mérite vivre pleinement jour
"Je mérite de vivre, pour vrai!",6,French,Self-Worth,adult (30-45),primary education,very informal with slang,text message to friend,Healthy,between 3 and 8 words,3-8 words,0,0,2,30,je mérite de vivre pour vrai,mérite vivre vrai
Je mérite de vivre pleinement,5,French,Self-Worth,adult (30-45),high school,very informal with slang,therapy session,Healthy,between 3 and 8 words,3-8 words,0,0,0,29,je mérite de vivre pleinement,mérite vivre pleinement
Je mérite de vivre chaque jour,6,French,Self-Worth,elderly (60+),primary education,casual,forum post,Healthy,between 3 and 8 words,3-8 words,0,0,0,30,je mérite de vivre chaque jour,mérite vivre jour
La vie mérite d'être vécue pleinement,7,French,Self-Worth,middle-aged (46-60),university student,formal,social media post,Healthy,between 3 and 8 words,3-8 words,0,0,1,37,la vie mérite d être vécue pleinement,vie mérite vécue pleinement
"Je sais que ma vie a de la valeur, même quand je me sens triste.",15,French,Self-Worth,teenager (13-19),high school,casual,email to family member,Healthy,between 9 and 15 words,9-15 words,0,0,2,64,je sais que ma vie a de la valeur même quand je me sens triste,sais vie sens triste
La valeur de ma vie transcende mes moments sombres et mes doutes.,12,French,Self-Worth,middle-aged (46-60),university student,formal,social media post,Healthy,between 9 and 15 words,9-15 words,0,0,1,65,la valeur de ma vie transcende mes moments sombres et mes doutes,vie transcende moments sombres doutes
"Ma valeur personnelle transcende la dépression, je mérite de vivre pleinement.",11,French,Self-Worth,middle-aged (46-60),university student,formal,email to family member,Healthy,between 9 and 15 words,9-15 words,0,0,2,78,ma valeur personnelle transcende la dépression je mérite de vivre pleinement,personnelle transcende dépression mérite vivre pleinement
Ma valeur intrinsèque transcende la dépression; je mérite de vivre pleinement.,11,French,Self-Worth,middle-aged (46-60),university student,formal,therapy session,Healthy,between 9 and 15 words,9-15 words,0,0,2,78,ma valeur intrinsèque transcende la dépression je mérite de vivre pleinement,intrinsèque transcende dépression mérite vivre pleinement
Je sais que ma valeur ne dépend pas des pensées sombres.,11,French,Self-Worth,young adult (20-29),professional,casual,therapy session,Healthy,between 9 and 15 words,9-15 words,0,0,1,56,je sais que ma valeur ne dépend pas des pensées sombres,sais dépend pensées sombres
"Yo les potes, même quand ça va mal, notre valeur reste là!",12,French,Self-Worth,elderly (60+),university student,very informal with slang,social media post,Healthy,between 9 and 15 words,9-15 words,0,0,3,58,yo les potes même quand ça va mal notre valeur reste là,potes mal reste
"Je sais que ma valeur est innée, même dans les moments difficiles.",12,French,Self-Worth,adult (30-45),high school,formal,forum post,Healthy,between 9 and 15 words,9-15 words,0,0,2,66,je sais que ma valeur est innée même dans les moments difficiles,sais innée moments difficiles
"Je mérite de vivre, même si parfois mon esprit me dit autrement.",12,French,Self-Worth,young adult (20-29),university student,casual,anonymous blog post,Healthy,between 9 and 15 words,9-15 words,0,0,2,64,je mérite de vivre même si parfois mon esprit me dit autrement,mérite vivre parfois esprit dit autrement
Ma valeur intrinsèque transcende mes pensées sombres; je mérite de vivre pleinement.,12,French,Self-Worth,teenager (13-19),postgraduate,formal,diary entry,Healthy,between 9 and 15 words,9-15 words,0,0,2,84,ma valeur intrinsèque transcende mes pensées sombres je mérite de vivre pleinement,intrinsèque transcende pensées sombres mérite vivre pleinement
